100 3 2
0 1 -1.528822 0.904446
1 1 -2.036158 -0.042683
2 1 -1.446955 0.585442
3 1 -2.102006 0.348543
4 1 -0.645794 -0.312367
5 1 -1.311014 0.230974
6 1 -0.700974 0.385515
7 1 -1.620693 0.402046
8 1 -1.280570 -0.400229
9 1 -1.916879 -0.805107
10 1 -1.705104 -0.333375
11 1 -2.488230 0.148836
12 1 -1.012196 0.613662
13 1 -1.224859 -0.497457
14 1 -2.211359 0.303102
15 1 -0.639506 -0.380117
16 1 -1.962366 0.072902
17 1 -2.173443 -0.578024
18 1 -2.066376 0.303580
19 1 -1.165136 -0.378133
20 1 -1.886734 0.441360
21 1 -2.227479 0.233991
22 1 -1.962037 -0.558672
23 1 -1.074198 0.097993
24 1 -0.617303 -0.340270
25 1 -1.091027 0.886851
26 1 -1.336811 0.760308
27 1 -1.000777 -0.240765
28 1 -1.048877 -0.674404
29 1 -0.947615 0.226591
30 1 -0.582948 0.359717
31 1 -2.390062 0.199683
32 1 -1.713708 -0.569268
33 2 1.264799 -0.846492
34 2 0.914847 0.577566
35 2 0.935575 0.755883
36 2 1.605084 0.444280
37 2 2.836902 -0.688664
38 2 1.225911 -0.373205
39 2 0.958763 -0.284750
40 2 0.954381 0.587334
41 2 2.898461 -0.779523
42 2 2.145202 -0.734856
43 2 1.520060 -0.730425
44 2 1.346653 -0.206906
45 2 1.170287 -0.517883
46 2 2.755032 -0.217798
47 2 1.922526 -0.814208
48 2 0.943398 -0.680930
49 2 2.589032 0.758307
50 2 1.273979 0.982610
51 2 2.324060 0.742729
52 2 1.859262 -0.007990
53 2 1.475064 -0.878117
54 2 1.424935 -0.627478
55 2 2.734180 -0.753443
56 2 0.926891 -0.260619
57 2 2.297282 0.778694
58 2 2.087541 -0.686618
59 2 1.533379 -0.533209
60 2 0.916844 -0.206192
61 2 2.199736 -0.829999
62 2 2.437619 0.939403
63 2 2.329594 0.563924
64 2 1.375130 -0.608538
65 2 1.426428 0.427570
66 3 4.775997 0.701110
67 3 3.480572 1.569523
68 3 1.709826 2.073520
69 3 -0.130750 2.127630
70 3 -1.936506 1.915510
71 3 4.381994 -0.944974
72 3 1.738341 1.919551
73 3 2.250094 -1.593213
74 3 -2.923434 -1.494874
75 3 -4.997718 -0.005395
76 3 -4.554725 -0.743056
77 3 3.168923 1.551530
78 3 2.271770 1.927363
79 3 4.550986 0.976811
80 3 -1.550340 1.970878
81 3 -4.405233 1.137702
82 3 -3.431651 -1.435773
83 3 -0.500535 2.068277
84 3 -2.472164 -1.589836
85 3 1.508320 2.073388
86 3 -0.300221 2.008029
87 3 0.421874 -1.820251
88 3 3.551970 -1.250224
89 3 1.559821 -1.873940
90 3 -0.051252 -1.954408
91 3 -1.721170 1.940514
92 3 -2.483240 -1.567428
93 3 -3.155110 1.641978
94 3 -1.744156 -1.697075
95 3 2.612608 1.796733
96 3 2.992023 -1.589325
97 3 -1.248553 -1.839837
98 3 4.694592 -0.637741
99 3 0.848869 2.003650
